Code Profiling Results============================================================Profiled: compute_hotel_features() + cluster_hotels()         74151 function calls (73716 primitive calls) in 48.452 seconds

   Ordered by: cumulative time
   List reduced from 1013 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/3    0.000    0.000   40.430   13.477 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/IPython/core/interactiveshell.py:3665(run_code)
      4/3    0.000    0.000   40.430   13.477 {built-in method builtins.exec}
        1    0.000    0.000   39.998   39.998 /var/folders/7v/4q7r0xwd6tb59mlws6_tzcm40000gn/T/ipykernel_95713/1691772082.py:1(<module>)
        1    0.000    0.000   39.998   39.998 /Users/adrian/Workshop/5126/Assignment1/src/benchmarking.py:27(compute_hotel_features)
        1    9.059    9.059   39.936   39.936 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/pandas/io/sql.py:436(read_sql_query)
       39   37.025    0.949   37.025    0.949 {built-in method time.sleep}
        7    0.000    0.000   30.005    4.286 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py:1953(_run_once)
        7    0.002    0.000   30.004    4.286 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:540(select)
        7    1.036    0.148    1.036    0.148 {method 'control' of 'select.kqueue' objects}
        1    0.001    0.001    0.872    0.872 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/pandas/io/sql.py:2717(read_query)
        1    0.000    0.000    0.846    0.846 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/pandas/io/sql.py:2757(_fetchall_as_list)
        1    0.811    0.811    0.811    0.811 {method 'fetchall' of 'sqlite3.Cursor' objects}
        1    0.000    0.000    0.430    0.430 /Users/adrian/Workshop/5126/Assignment1/src/benchmarking.py:60(cluster_hotels)
        2    0.000    0.000    0.238    0.119 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/base.py:1319(wrapper)
        1    0.000    0.000    0.232    0.232 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/cluster/_kmeans.py:1047(fit_predict)
        1    0.064    0.064    0.231    0.231 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/cluster/_kmeans.py:1432(fit)
      6/1    0.000    0.000    0.178    0.178 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/utils/_param_validation.py:187(wrapper)
        1    0.000    0.000    0.178    0.178 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/metrics/cluster/_unsupervised.py:49(silhouette_score)
        1    0.000    0.000    0.178    0.178 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/metrics/cluster/_unsupervised.py:203(silhouette_samples)
        2    0.000    0.000    0.175    0.088 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:2094(pairwise_distances_chunked)
       10    0.000    0.000    0.122    0.012 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/utils/parallel.py:206(wrapper)
        1    0.097    0.097    0.098    0.098 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/metrics/cluster/_unsupervised.py:149(_silhouette_reduce)
       51    0.023    0.000    0.087    0.002 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:374(_euclidean_distances)
       10    0.070    0.007    0.079    0.008 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/cluster/_kmeans.py:629(_kmeans_single_lloyd)
        1    0.000    0.000    0.077    0.077 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:2278(pairwise_distances)
        1    0.000    0.000    0.077    0.077 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:1959(_parallel_pairwise)
        1    0.000    0.000    0.077    0.077 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:256(euclidean_distances)
        1    0.000    0.000    0.054    0.054 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/pandas/io/sql.py:2658(execute)
        1    0.054    0.054    0.054    0.054 {method 'execute' of 'sqlite3.Cursor' objects}
       51    0.042    0.001    0.043    0.001 /Users/adrian/Workshop/5126/Assignment1/.venv/lib/python3.13/site-packages/sklearn/utils/extmath.py:166(safe_sparse_dot)


